"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Afghanistan","estimate","2013","UNAIDS_GARPR_","Number","4934",""
"Argentina","estimate","2013","UNAIDS_GARPR_","Number","75000",""
"Armenia","estimate","2013","UNAIDS_GARPR_","Number","6200",""
"Australia","estimate","2013","UNAIDS_GARPR_","Number","20500",""
"Azerbaijan","estimate","2013","UNAIDS_GARPR_","Number","25054",""
"Bangladesh","estimate","2013","UNAIDS_GARPR_","Number","106784",""
"Belarus","estimate","2013","UNAIDS_GARPR_","Number","50000",""
"Benin","estimate","2013","UNAIDS_GARPR_","Number","12789",""
"Bosnia and Herzegovina","estimate","2013","UNAIDS_GARPR_","Number","4000",""
"Botswana","estimate","2013","UNAIDS_GARPR_","Number","4000",""
"Brazil","estimate","2013","UNAIDS_GARPR_","Number","546848",""
"Bulgaria","estimate","2013","UNAIDS_GARPR_","Number","10000",""
"Burundi","estimate","2013","UNAIDS_GARPR_","Number","27546",""
"Cambodia","estimate","2013","UNAIDS_GARPR_","Number","37000",""
"Cameroon","estimate","2013","UNAIDS_GARPR_","Number","38582",""
"Cape Verde","estimate","2013","UNAIDS_GARPR_","Number","1445",""
"Cuba","estimate","2013","UNAIDS_GARPR_","Number","83302",""
"El Salvador","estimate","2013","UNAIDS_GARPR_","Number","1097",""
"Eritrea","estimate","2013","UNAIDS_GARPR_","Number","1606",""
"Fiji","estimate","2013","UNAIDS_GARPR_","Number","538",""
"Gabon","estimate","2013","UNAIDS_GARPR_","Number","368",""
"Ghana","estimate","2013","UNAIDS_GARPR_","Number","51937",""
"Guinea","estimate","2013","UNAIDS_GARPR_","Number","8357",""
"Haiti","estimate","2013","UNAIDS_GARPR_","Number","176400",""
"Honduras","estimate","2013","UNAIDS_GARPR_","Number","4871",""
"India","estimate","2013","UNAIDS_GARPR_","Number","868000",""
"Indonesia","estimate","2013","UNAIDS_GARPR_","Number","229856",""
"Jamaica","estimate","2013","UNAIDS_GARPR_","Number","18696",""
"Kazakhstan","estimate","2013","UNAIDS_GARPR_","Number","19943",""
"Kenya","estimate","2013","UNAIDS_GARPR_","Number","133675",""
"Kyrgyzstan","estimate","2013","UNAIDS_GARPR_","Number","7100",""
"Lao People's Democratic Republic","estimate","2013","UNAIDS_GARPR_","Number","13510",""
"Liberia","estimate","2013","UNAIDS_GARPR_","Number","1822",""
"Madagascar","estimate","2013","UNAIDS_GARPR_","Number","12517",""
"Malawi","estimate","2013","UNAIDS_GARPR_","Number","19295",""
"Malaysia","estimate","2013","UNAIDS_GARPR_","Number","60000",""
"Mauritius","estimate","2013","UNAIDS_GARPR_","Number","9000",""
"Mexico","estimate","2013","UNAIDS_GARPR_","Number","237798",""
"Morocco","estimate","2013","UNAIDS_GARPR_","Number","85000",""
"Myanmar","estimate","2013","UNAIDS_GARPR_","Number","70000",""
"Nepal","estimate","2013","UNAIDS_GARPR_","Number","37880",""
"Nicaragua","estimate","2013","UNAIDS_GARPR_","Number","17334",""
"Niger","estimate","2013","UNAIDS_GARPR_","Number","28377",""
"Nigeria","estimate","2013","UNAIDS_GARPR_","Number","236146",""
"Pakistan","estimate","2013","UNAIDS_GARPR_","Number","241813",""
"Panama","estimate","2013","UNAIDS_GARPR_","Number","24647",""
"Paraguay","estimate","2013","UNAIDS_GARPR_","Number","1292",""
"Peru","estimate","2013","UNAIDS_GARPR_","Number","48851",""
"Republic of Moldova","estimate","2013","UNAIDS_GARPR_","Number","12000",""
"Rwanda","estimate","2013","UNAIDS_GARPR_","Number","12278",""
"Sao Tome and Principe","estimate","2013","UNAIDS_GARPR_","Number","88",""
"Senegal","estimate","2013","UNAIDS_GARPR_","Number","4200",""
"Serbia","estimate","2013","UNAIDS_GARPR_","Number","3901",""
"Sierra Leone","estimate","2013","UNAIDS_GARPR_","Number","240000",""
"South Africa","estimate","2013","UNAIDS_GARPR_","Number","262534",""
"South Sudan","estimate","2013","UNAIDS_GARPR_","Number","39300",""
"Spain","estimate","2013","UNAIDS_GARPR_","Number","70268",""
"Sri Lanka","estimate","2013","UNAIDS_GARPR_","Number","14132",""
"Sudan","estimate","2013","UNAIDS_GARPR_","Number","212462",""
"Suriname","estimate","2013","UNAIDS_GARPR_","Number","2228",""
"Tajikistan","estimate","2013","UNAIDS_GARPR_","Number","12500",""
"Thailand","estimate","2013","UNAIDS_GARPR_","Number","123530",""
"Tunisia","estimate","2013","UNAIDS_GARPR_","Number","25000",""
"Ukraine","estimate","2013","UNAIDS_GARPR_","Number","80000",""
"Uruguay","estimate","2013","UNAIDS_GARPR_","Number","6817",""
"Uzbekistan","estimate","2013","UNAIDS_GARPR_","Number","21000",""
"Vanuatu","estimate","2013","UNAIDS_GARPR_","Number","1398",""
"Viet Nam","estimate","2013","UNAIDS_GARPR_","Number","71936",""
"Yemen","estimate","2013","UNAIDS_GARPR_","Number","54000",""

